BUYER_ID,SECTION,CATEGORY_BEFORE,CATEGORY_AFTER,SWITCH_FLAG,PROMO_FLAG
MEM_9990010000012796,CHILLER,1114 - ISOTONIC DRINK,2024 - BOTTLE - CAN LIQUID MILK,SWITCH,PROMO
MEM_9990010000427019,CHILLER,1112 - CARBONATED DRINK,1154 - RTD TEA,SWITCH,PROMO
MEM_9990010000480000,CHILLER,6227 - CHILLED SAUSAGES,6212 - YOGHURT,SWITCH,NON PROMO
MEM_9990010000480000,STAPLE NEED,1521 - PALM COOKING OIL,1521 - PALM COOKING OIL,NO_SWITCH,PROMO
MEM_9990010000481825,HOUSE HOLD,3723 - DILUTE FABRIC CONDITIONER,3724 - IRONING,SWITCH,NON PROMO
MEM_9990010000686684,STAPLE NEED,1721 - CHILLI,1721 - CHILLI,NO_SWITCH,PROMO
MEM_9990010000806140,MISC & STATIONARY,4244 - GAS STOVE ARRANGEMENT,4244 - GAS STOVE ARRANGEMENT,NO_SWITCH,NON PROMO
MEM_9990010000850000,BEVERAGES,2023 - TETRAPACK LIQUID MILK,2023 - TETRAPACK LIQUID MILK,NO_SWITCH,PROMO
MEM_9990010000850000,CHILLER,1151 - RTD JUICE,1154 - RTD TEA,SWITCH,PROMO
MEM_9990010000850000,HOUSE HOLD,3516 - DISHWASHING CLEANER,3716 - MATIC LIQUID DETERGENT,SWITCH,PROMO
MEM_9990010000850000,STAPLE NEED,1511 - RICE,1511 - RICE,NO_SWITCH,NON PROMO
MEM_9990010000856214,BISC & CONFECTIONARY,2323 - BAG CANDY,2227 - WAFER BISCUIT,SWITCH,PROMO
MEM_9990010000856214,CHILLER,1154 - RTD TEA,1113 - MINERAL WATER,SWITCH,PROMO
MEM_9990010000856214,ICE CREAM,6242 - IMPULSE ICE CREAM,6242 - IMPULSE ICE CREAM,NO_SWITCH,NON PROMO
MEM_9990010000856214,SNACK,2213 - EXTRUDED & PELLET,2215 - CASSAVA,SWITCH,NON PROMO
MEM_9990010000885351,BISC & CONFECTIONARY,2228 - STICK BISCUIT,2223 - CRACKER BISCUIT,SWITCH,NON PROMO
MEM_9990010000885351,HOUSE HOLD,3511 - FLOOR CLEANER,3516 - DISHWASHING CLEANER,SWITCH,PROMO
MEM_9990010000885351,PERSONAL CARE,3235 - MEN DEO ROLL ON,3231 - WOMEN DEO,SWITCH,PROMO
MEM_9990010000885351,STAPLE NEED,1521 - PALM COOKING OIL,1723 - SOY SAUCE,SWITCH,PROMO
MEM_9990010000904700,BEVERAGES,2023 - TETRAPACK LIQUID MILK,2023 - TETRAPACK LIQUID MILK,NO_SWITCH,PROMO
MEM_9990010000904700,HOUSE HOLD,3714 - LIQUID DETERGENT,3714 - LIQUID DETERGENT,NO_SWITCH,PROMO
MEM_9990010000904700,PERSONAL CARE,3222 - BEAUTY LIQUID SOAP,3211 - SHAMPOO,SWITCH,PROMO
MEM_9990010000904700,STAPLE NEED,1611 - POWDER JELLY,1611 - POWDER JELLY,NO_SWITCH,PROMO
MEM_9990010000952857,CHILLER,1112 - CARBONATED DRINK,1154 - RTD TEA,SWITCH,PROMO
MEM_9990010000952857,HOUSE HOLD,3621 - TOILET NAPHTHALENE,3623 - AEROSOL AIR FRESHENER,SWITCH,PROMO
MEM_9990010000952857,SANITARY ADULT,3325 - SANITARY NAPKINS NIGHT,3325 - SANITARY NAPKINS NIGHT,NO_SWITCH,PROMO
MEM_9990010000952971,BEVERAGES,2023 - TETRAPACK LIQUID MILK,2023 - TETRAPACK LIQUID MILK,NO_SWITCH,PROMO
MEM_9990010001147600,HOUSE HOLD,3513 - TOILET CLEANER,3714 - LIQUID DETERGENT,SWITCH,PROMO
MEM_9990010001274954,BISC & CONFECTIONARY,2227 - WAFER BISCUIT,2227 - WAFER BISCUIT,NO_SWITCH,NON PROMO
MEM_9990010001274954,CHILLER,1112 - CARBONATED DRINK,1112 - CARBONATED DRINK,NO_SWITCH,PROMO
MEM_9990010001274954,MILK & DIAPERS,2117 - GROWING UP MILK MAINSTREAM,2117 - GROWING UP MILK MAINSTREAM,NO_SWITCH,PROMO
MEM_9990010001288562,STAPLE NEED,1511 - RICE,1511 - RICE,NO_SWITCH,NON PROMO
MEM_9990010001288562,TISSUE,3311 - FACIAL TISSUE,3311 - FACIAL TISSUE,NO_SWITCH,PROMO
MEM_9990010001409500,BEVERAGES,2023 - TETRAPACK LIQUID MILK,2023 - TETRAPACK LIQUID MILK,NO_SWITCH,PROMO
MEM_9990010001409500,BISC & CONFECTIONARY,2331 - ENROBED CHOCOLATE,2331 - ENROBED CHOCOLATE,NO_SWITCH,PROMO
MEM_9990010001409500,BREAD CORNER (BC),6611 - BREAD,1314 - CHEESE,SWITCH,PROMO
MEM_9990010001409500,CHILLER,2023 - TETRAPACK LIQUID MILK,2023 - TETRAPACK LIQUID MILK,NO_SWITCH,NON PROMO
MEM_9990010001409500,CHILLER,2023 - TETRAPACK LIQUID MILK,2023 - TETRAPACK LIQUID MILK,NO_SWITCH,PROMO
MEM_9990010001409500,HOUSE HOLD,3714 - LIQUID DETERGENT,3714 - LIQUID DETERGENT,NO_SWITCH,PROMO
MEM_9990010001409500,ICE CREAM,6242 - IMPULSE ICE CREAM,6242 - IMPULSE ICE CREAM,NO_SWITCH,PROMO
MEM_9990010001409500,MEDICINE & BABY CARE,3123 - ANTISEPTIC,3119 - ATHELMINTICS,SWITCH,NON PROMO
MEM_9990010001409500,MEJA KASIR,2332 - BLOCK CHOCOLATE,2332 - BLOCK CHOCOLATE,NO_SWITCH,PROMO
MEM_9990010001409500,NOODLE,1911 - INSTANT NOODLE BAG,1911 - INSTANT NOODLE BAG,NO_SWITCH,PROMO
MEM_9990010001409500,PERSONAL CARE,3223 - HEALTHY LIQUID SOAP,3223 - HEALTHY LIQUID SOAP,NO_SWITCH,PROMO
MEM_9990010001409500,SANITARY ADULT,3321 - SANITARY NAPKINS WINGS,3321 - SANITARY NAPKINS WINGS,NO_SWITCH,PROMO
MEM_9990010001409500,SNACK,2217 - CORN,2215 - CASSAVA,SWITCH,PROMO
MEM_9990010001520861,CHILLER,2023 - TETRAPACK LIQUID MILK,2023 - TETRAPACK LIQUID MILK,NO_SWITCH,PROMO
MEM_9990010001520861,HOUSE HOLD,3611 - AEROSOL INSECTICIDES,3516 - DISHWASHING CLEANER,SWITCH,PROMO
MEM_9990010001520861,PERSONAL CARE,3240 - SUNSCREEN,3223 - HEALTHY LIQUID SOAP,SWITCH,PROMO
MEM_9990010001520861,SNACK,2214 - TRADITIONAL SNACK,2216 - SEAWEED,SWITCH,PROMO
MEM_9990010001568000,HOUSE HOLD,3723 - DILUTE FABRIC CONDITIONER,3723 - DILUTE FABRIC CONDITIONER,NO_SWITCH,PROMO
MEM_9990010001568000,NOODLE,1911 - INSTANT NOODLE BAG,1911 - INSTANT NOODLE BAG,NO_SWITCH,NON PROMO
MEM_9990010001568000,STAPLE NEED,1511 - RICE,1915 - PASTA,SWITCH,NON PROMO
MEM_9990010001588951,BREAKFAST,1222 - COFFEE MIX,1222 - COFFEE MIX,NO_SWITCH,PROMO
MEM_9990010001588951,NOODLE,1912 - INSTANT NOODLE CUP,1911 - INSTANT NOODLE BAG,SWITCH,PROMO
