BRAND,SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
ALFAMART,1511C - RICE BAG 10KG,1511 - RICE,-,1.07,,,20.5,,,1.46,,,165268.0,,,241291.0,,,28.0,,
ETERNA,4251B - CLEANING EQUIPMENT TOILET,4251 - CLEANING EQUIPMENT,-,1.0,1.0,0.0,5.5,4.67,-0.1509,1.0,1.0,0.0,9300.0,9300.0,0.0,9300.0,9300.0,0.0,11.0,14.0,0.2727
KIMBO,6235A - FROZEN MEAT BALLS,6235 - FROZEN MEAT BALLS,-,1.0,1.02,0.02,7.5,14.33,0.9107,1.0,1.05,0.05,36900.0,37758.0,0.0233,36900.0,39646.0,0.0744,15.0,41.0,1.7333
SO GOOD,6235A - FROZEN MEAT BALLS,6235 - FROZEN MEAT BALLS,-,1.04,1.11,0.0673,22.5,20.67,-0.0813,1.12,1.09,-0.0268,21993.0,23666.0,0.0761,24632.0,25796.0,0.0473,40.0,57.0,0.425
SUMBER SELERA,6235A - FROZEN MEAT BALLS,6235 - FROZEN MEAT BALLS,-,1.03,1.08,0.0485,52.0,46.67,-0.1025,1.11,1.16,0.045,37964.0,39799.0,0.0483,42140.0,46167.0,0.0956,94.0,121.0,0.2872
BELFOODS,6236A - FROZEN SAUSAGES,6236 - FROZEN SAUSAGES,-,1.0,1.06,0.06,10.5,10.33,-0.0162,1.05,1.0,-0.0476,49462.0,54261.0,0.097,51935.0,54261.0,0.0448,20.0,31.0,0.55
BENFARM,6236A - FROZEN SAUSAGES,6236 - FROZEN SAUSAGES,-,1.06,1.05,-0.0094,41.0,43.33,0.0568,1.08,1.11,0.0278,60916.0,61545.0,0.0103,65789.0,68315.0,0.0384,76.0,117.0,0.5395
CHAMP,6236A - FROZEN SAUSAGES,6236 - FROZEN SAUSAGES,-,1.0,1.03,0.03,21.0,32.67,0.5557,1.08,1.21,0.1204,34143.0,34449.0,0.009,36874.0,41683.0,0.1304,39.0,81.0,1.0769
KANZLER,6236A - FROZEN SAUSAGES,6236 - FROZEN SAUSAGES,-,1.03,1.04,0.0097,67.5,74.0,0.0963,1.12,1.19,0.0625,40101.0,40441.0,0.0085,44913.0,48125.0,0.0715,120.0,187.0,0.5583
SO NICE,6236A - FROZEN SAUSAGES,6236 - FROZEN SAUSAGES,-,1.02,1.01,-0.0098,29.0,49.67,0.7128,1.12,1.11,-0.0089,22134.0,21877.0,-0.0116,24790.0,24283.0,-0.0205,52.0,134.0,1.5769
ACMIC,4641A - TRAVEL ACCESSORIES,4641 - ACCESSORIES TRAVEL,ACCESSORIES,1.29,1.05,-0.186,3.5,6.33,0.8086,1.17,1.0,-0.1453,29871.0,25158.0,-0.1578,34949.0,25158.0,-0.2802,6.0,19.0,2.1667
KENMASTER,4641A - TRAVEL ACCESSORIES,4641 - ACCESSORIES TRAVEL,ACCESSORIES,,1.0,,,1.67,,,1.0,,,38200.0,,,38200.0,,,5.0,
ALFAMART,5521A - BABIES/CHILDREN SOCK,5521 - BABIES & CHILDREN SOCK,ACCESSORIES,1.0,1.0,0.0,4.5,3.67,-0.1844,1.0,1.0,0.0,21122.0,19173.0,-0.0923,21122.0,19173.0,-0.0923,9.0,11.0,0.2222
ALFA,5523A - MENS SOCK,5523 - MENS SOCK,ACCESSORIES,1.08,1.02,-0.0556,20.0,18.0,-0.1,1.0,1.02,0.02,20117.0,20589.0,0.0235,20117.0,21001.0,0.0439,40.0,53.0,0.325
ALFAMART,5523A - MENS SOCK,5523 - MENS SOCK,ACCESSORIES,1.06,1.0,-0.0566,8.0,6.67,-0.1662,1.0,1.05,0.05,20231.0,19525.0,-0.0349,20231.0,20501.0,0.0133,16.0,19.0,0.1875
PRINGLE,5523A - MENS SOCK,5523 - MENS SOCK,ACCESSORIES,1.0,1.14,0.14,4.0,7.0,0.75,1.0,1.0,0.0,31562.0,35714.0,0.1316,31562.0,35714.0,0.1316,8.0,21.0,1.625
ALFA,5811A - COMB,5811 - COMB,ACCESSORIES,1.0,1.07,0.07,4.5,5.0,0.1111,1.0,1.0,0.0,39900.0,42293.0,0.06,39900.0,42293.0,0.06,9.0,15.0,0.6667
DISNEY,5811A - COMB,5811 - COMB,ACCESSORIES,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,34900.0,34900.0,0.0,34900.0,34900.0,0.0,1.0,3.0,2.0
FROZEN,5811A - COMB,5811 - COMB,ACCESSORIES,1.0,,,1.0,,,1.0,,,22900.0,,,22900.0,,,2.0,,
PRINCESS,5811A - COMB,5811 - COMB,ACCESSORIES,2.0,,,0.5,,,1.0,,,45800.0,,,45800.0,,,1.0,,
SANRIO,5811A - COMB,5811 - COMB,ACCESSORIES,1.0,1.2,0.2,2.0,1.67,-0.165,1.0,1.25,0.25,37900.0,45480.0,0.2,37900.0,56850.0,0.5,4.0,4.0,0.0
TRENDY,5811A - COMB,5811 - COMB,ACCESSORIES,1.05,1.03,-0.019,32.5,32.0,-0.0154,1.02,1.02,0.0,9223.0,8815.0,-0.0442,9407.0,8991.0,-0.0442,64.0,94.0,0.4688
ALFA,5812A - HAIR GROOMING,5812 - HAIR ACCESSORIES,ACCESSORIES,1.12,1.07,-0.0446,42.5,36.0,-0.1529,1.02,1.05,0.0294,18941.0,19777.0,0.0441,19320.0,20766.0,0.0748,83.0,103.0,0.241
SCORLINES,5812A - HAIR GROOMING,5812 - HAIR ACCESSORIES,ACCESSORIES,1.0,1.0,0.0,6.0,8.67,0.445,1.0,1.04,0.04,12592.0,13185.0,0.0471,12592.0,13712.0,0.0889,12.0,25.0,1.0833
WETBRUSH,5812A - HAIR GROOMING,5812 - HAIR ACCESSORIES,ACCESSORIES,1.0,1.0,0.0,1.0,2.33,1.33,1.0,1.0,0.0,82850.0,98614.0,0.1903,82850.0,98614.0,0.1903,2.0,7.0,2.5
ALFA,5813A - PIN & SCISSORS NAIL,5813 - PIN & SCISSORS NAIL,ACCESSORIES,1.0,1.0,0.0,18.0,10.33,-0.4261,1.0,1.0,0.0,18636.0,18371.0,-0.0142,18636.0,18371.0,-0.0142,36.0,31.0,-0.1389
SCORLINES,5813A - PIN & SCISSORS NAIL,5813 - PIN & SCISSORS NAIL,ACCESSORIES,1.0,1.01,0.01,20.5,29.33,0.4307,1.0,1.01,0.01,20534.0,21127.0,0.0289,20534.0,21338.0,0.0392,41.0,87.0,1.122
TRENDY,5813A - PIN & SCISSORS NAIL,5813 - PIN & SCISSORS NAIL,ACCESSORIES,1.0,1.07,0.07,9.5,4.67,-0.5084,1.06,1.0,-0.0566,23205.0,24579.0,0.0592,24597.0,24579.0,-0.0007,18.0,14.0,-0.2222
BT21,5814A - BEAUTY ACCESSORIES,5814 - BEAUTY ACCESSORIES,ACCESSORIES,1.0,1.0,0.0,0.5,1.33,1.66,1.0,1.0,0.0,17900.0,17900.0,0.0,17900.0,17900.0,0.0,1.0,4.0,3.0
MARVELS,5814A - BEAUTY ACCESSORIES,5814 - BEAUTY ACCESSORIES,ACCESSORIES,1.0,,,1.0,,,1.0,,,44600.0,,,44600.0,,,2.0,,
