BRAND,SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
ALFAMART,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,1.03,1.05,0.0194,43.0,42.67,-0.0077,31886.0,32300.0,0.013,76.0,104.0,0.3684
KHONG GUAN,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,1.05,1.03,-0.019,45.5,50.33,0.1062,93480.0,86662.0,-0.0729,84.0,136.0,0.619
MONDE,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,1.0,1.02,0.02,24.5,18.33,-0.2518,79716.0,81116.0,0.0176,49.0,55.0,0.1224
NISSIN,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,1.02,1.02,0.0,20.0,17.33,-0.1335,53198.0,52898.0,-0.0056,37.0,45.0,0.2162
TANGO,2221A - CAN BISCUIT,2221 - CAN BISCUIT,BISC & CONFECTIONARY,1.14,1.04,-0.0877,7.0,28.33,3.0471,31757.0,28924.0,-0.0892,14.0,84.0,5.0
BISKUAT,2222A - COOKIES BISCUIT 15-30G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,,1.23,,,73.33,,,7530.0,,,204.0,
CHOCOLITO,2222B - COOKIES BISCUIT 40-60G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.78,1.46,-0.1798,241.5,170.0,-0.2961,10867.0,8985.0,-0.1732,418.0,431.0,0.0311
HELLO PANDA,2222B - COOKIES BISCUIT 40-60G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.68,1.64,-0.0238,503.0,579.33,0.1517,15821.0,15171.0,-0.0411,892.0,1483.0,0.6626
LEMONILO,2222B - COOKIES BISCUIT 40-60G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.27,1.31,0.0315,534.0,590.33,0.1055,17584.0,18050.0,0.0265,923.0,1481.0,0.6046
LOTTE,2222B - COOKIES BISCUIT 40-60G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.35,1.41,0.0444,199.5,131.0,-0.3434,12658.0,12927.0,0.0213,325.0,323.0,-0.0062
MONDE,2222B - COOKIES BISCUIT 40-60G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.62,1.71,0.0556,4.0,4.67,0.1675,13062.0,13179.0,0.009,8.0,14.0,0.75
PAROTI,2222B - COOKIES BISCUIT 40-60G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.12,1.18,0.0536,277.5,298.67,0.0763,11676.0,12521.0,0.0724,495.0,782.0,0.5798
DILAN,2222C - COOKIES BISCUIT 61-100G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,,1.2,,,5.0,,,11400.0,,,15.0,
GOOD TIME,2222C - COOKIES BISCUIT 61-100G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.35,1.32,-0.0222,1154.5,987.67,-0.1445,13302.0,13313.0,0.0008,1975.0,2471.0,0.2511
MONDE,2222C - COOKIES BISCUIT 61-100G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.13,1.17,0.0354,69.5,93.0,0.3381,16076.0,16449.0,0.0232,124.0,244.0,0.9677
NEXTAR,2222C - COOKIES BISCUIT 61-100G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.19,1.35,0.1345,246.5,247.33,0.0034,11385.0,12811.0,0.1253,424.0,603.0,0.4222
NISSIN,2222C - COOKIES BISCUIT 61-100G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.15,1.17,0.0174,690.0,674.33,-0.0227,13205.0,13501.0,0.0224,1103.0,1549.0,0.4044
ROMA,2222C - COOKIES BISCUIT 61-100G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.11,1.05,-0.0541,65.5,74.67,0.14,12073.0,11481.0,-0.049,124.0,210.0,0.6935
TROPICANA,2222C - COOKIES BISCUIT 61-100G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.43,1.11,-0.2238,3.5,3.0,-0.1429,39286.0,30000.0,-0.2364,7.0,8.0,0.1429
BISKITOP,2222D - COOKIES BISCUIT 110-200G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,,1.0,,,1.0,,,13900.0,,,3.0,
BISKUAT,2222D - COOKIES BISCUIT 110-200G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.19,1.17,-0.0168,386.5,563.67,0.4584,11738.0,11534.0,-0.0174,664.0,1411.0,1.125
KHONG GUAN,2222D - COOKIES BISCUIT 110-200G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.0,1.0,0.0,0.5,1.0,1.0,12900.0,12900.0,0.0,1.0,3.0,2.0
KOKOLA,2222D - COOKIES BISCUIT 110-200G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.09,1.11,0.0183,169.5,111.0,-0.3451,11360.0,11673.0,0.0276,289.0,289.0,0.0
MONDE,2222D - COOKIES BISCUIT 110-200G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.09,1.11,0.0183,272.5,290.33,0.0654,16079.0,15790.0,-0.018,476.0,717.0,0.5063
NISSIN,2222D - COOKIES BISCUIT 110-200G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.1,1.11,0.0091,259.5,298.67,0.1509,12350.0,12534.0,0.0149,451.0,771.0,0.7095
UNIBIS,2222D - COOKIES BISCUIT 110-200G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.26,1.35,0.0714,70.5,47.0,-0.3333,16891.0,18035.0,0.0677,112.0,117.0,0.0446
KHONG GUAN,2222E - COOKIES BISCUIT 250-300G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.04,1.12,0.0769,46.5,40.33,-0.1327,21855.0,24221.0,0.1083,89.0,107.0,0.2022
NISSIN,2222E - COOKIES BISCUIT 250-300G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.05,1.13,0.0762,55.5,73.67,0.3274,12568.0,13786.0,0.0969,104.0,210.0,1.0192
ROMA,2222E - COOKIES BISCUIT 250-300G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.11,1.18,0.0631,610.0,664.33,0.0891,14356.0,15048.0,0.0482,1019.0,1589.0,0.5594
