BRAND,SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
HEMAVITON,1111A - ENERGY DRINK LIQUID BOTTLE  100-250ML,1111 - ENERGY DRINK,CHILLER,1.26,1.0,-0.2063,9.5,2.0,-0.7895,0.63,0.33,-0.4762,8163.0,6633.0,-0.1874,5143.0,2189.0,-0.5744,15.0,6.0,-0.6
KRATING DAENG,1111A - ENERGY DRINK LIQUID BOTTLE  100-250ML,1111 - ENERGY DRINK,CHILLER,1.0,1.3,0.3,7.0,7.67,0.0957,0.54,0.33,-0.3889,6657.0,8691.0,0.3055,3595.0,2868.0,-0.2022,13.0,23.0,0.7692
M-150,1111A - ENERGY DRINK LIQUID BOTTLE  100-250ML,1111 - ENERGY DRINK,CHILLER,1.0,1.0,0.0,0.5,2.67,4.34,0.5,0.33,-0.34,6500.0,6600.0,0.0154,3250.0,2178.0,-0.3298,1.0,8.0,7.0
NEO HORMOVITON,1111A - ENERGY DRINK LIQUID BOTTLE  100-250ML,1111 - ENERGY DRINK,CHILLER,1.08,1.2,0.1111,6.0,5.0,-0.1667,0.5,0.36,-0.28,7033.0,7753.0,0.1024,3516.0,2791.0,-0.2062,12.0,14.0,0.1667
EXTRA JOSS,1111B - ENERGY DRINK LIQUID CAN 200-350ML,1111 - ENERGY DRINK,CHILLER,1.67,1.21,-0.2754,4.5,4.67,0.0378,0.64,0.58,-0.0938,14167.0,10321.0,-0.2715,9067.0,5986.0,-0.3398,7.0,8.0,0.1429
M-150,1111B - ENERGY DRINK LIQUID CAN 200-350ML,1111 - ENERGY DRINK,CHILLER,1.0,1.0,0.0,0.5,0.67,0.34,0.5,0.33,-0.34,8400.0,8400.0,0.0,4200.0,2772.0,-0.34,1.0,2.0,1.0
RED BULL,1111B - ENERGY DRINK LIQUID CAN 200-350ML,1111 - ENERGY DRINK,CHILLER,1.0,1.18,0.18,6.0,3.67,-0.3883,0.86,1.83,1.1279,10242.0,10636.0,0.0385,8808.0,19464.0,1.2098,7.0,2.0,-0.7143
A&W,1112A - CARBONATED DRINK CAN 200-250ML,1112 - CARBONATED DRINK,CHILLER,1.17,1.0,-0.1453,3.0,2.33,-0.2233,0.6,0.33,-0.45,7917.0,6771.0,-0.1448,4750.0,2234.0,-0.5297,5.0,7.0,0.4
COCA COLA,1112A - CARBONATED DRINK CAN 200-250ML,1112 - CARBONATED DRINK,CHILLER,1.0,1.12,0.12,2.0,8.0,3.0,0.67,0.36,-0.4627,6650.0,7042.0,0.0589,4456.0,2535.0,-0.4311,3.0,22.0,6.3333
KOPI KENANGAN,1112A - CARBONATED DRINK CAN 200-250ML,1112 - CARBONATED DRINK,CHILLER,1.5,1.25,-0.1667,3.0,4.0,0.3333,0.5,0.44,-0.12,10950.0,9125.0,-0.1667,5475.0,4015.0,-0.2667,6.0,9.0,0.5
