CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH,TRANSACTION_PENETRATION_BEFORE,TRANSACTION_PENETRATION_AFTER,TRANSACTION_PENETRATION_GROWTH,BUYER_PROMO_BEFORE,BUYER_PROMO_AFTER,BUYER_NON_PROMO_BEFORE,BUYER_NON_PROMO_AFTER,PROMO_SHARE_BEFORE,PROMO_SHARE_AFTER,NON_PROMO_SHARE_BEFORE,NON_PROMO_SHARE_AFTER
1511 - RICE,-,1.07,,,20.5,,,1.46,,,165268.0,,,241291.0,,,28.0,,,0.0769,,,0.0,,28.0,,0.0,,1.0,
4251 - CLEANING EQUIPMENT,-,1.0,1.0,0.0,5.5,4.67,-0.1509,1.0,1.0,0.0,9300.0,9300.0,0.0,9300.0,9300.0,0.0,11.0,14.0,0.2727,0.0206,0.0164,-0.2039,0.0,0.0,11.0,14.0,0.0,0.0,1.0,1.0
6235 - FROZEN MEAT BALLS,-,1.05,1.09,0.0381,80.5,80.67,0.0021,1.11,1.16,0.045,34109.0,35797.0,0.0495,37861.0,41525.0,0.0968,145.0,208.0,0.4345,0.3021,0.2834,-0.0619,88.0,120.0,64.0,102.0,0.5789,0.5405,0.4211,0.4595
6236 - FROZEN SAUSAGES,-,1.04,1.05,0.0096,167.5,206.67,0.2339,1.12,1.19,0.0625,42284.0,40801.0,-0.0351,47358.0,48553.0,0.0252,298.0,520.0,0.745,0.6285,0.726,0.1551,140.0,229.0,170.0,328.0,0.4516,0.4111,0.5484,0.5889
4641 - ACCESSORIES TRAVEL,ACCESSORIES,1.29,1.04,-0.1938,3.5,8.0,1.2857,1.17,1.0,-0.1453,29871.0,27875.0,-0.0668,34949.0,27875.0,-0.2024,6.0,24.0,3.0,0.0179,0.0429,1.3966,0.0,0.0,6.0,24.0,0.0,0.0,1.0,1.0
5521 - BABIES & CHILDREN SOCK,ACCESSORIES,1.0,1.0,0.0,4.5,3.67,-0.1844,1.0,1.0,0.0,21122.0,19173.0,-0.0923,21122.0,19173.0,-0.0923,9.0,11.0,0.2222,0.0231,0.0196,-0.1515,0.0,1.0,9.0,10.0,0.0,0.0909,1.0,0.9091
5523 - MENS SOCK,ACCESSORIES,1.11,1.1,-0.009,30.5,30.0,-0.0164,1.02,1.07,0.049,22638.0,25026.0,0.1055,23091.0,26778.0,0.1597,60.0,84.0,0.4,0.1564,0.1607,0.0275,24.0,26.0,38.0,59.0,0.3871,0.3059,0.6129,0.6941
5811 - COMB,ACCESSORIES,1.05,1.04,-0.0095,41.0,39.67,-0.0324,1.01,1.03,0.0198,15082.0,15233.0,0.01,15233.0,15690.0,0.03,81.0,115.0,0.4198,0.2103,0.2125,0.0105,4.0,0.0,77.0,115.0,0.0494,0.0,0.9506,1.0
5812 - HAIR ACCESSORIES,ACCESSORIES,1.1,1.07,-0.0273,49.5,46.33,-0.064,1.02,1.05,0.0294,19463.0,22799.0,0.1714,19852.0,23939.0,0.2059,97.0,132.0,0.3608,0.2538,0.2482,-0.0221,19.0,8.0,82.0,124.0,0.1881,0.0606,0.8119,0.9394
5813 - PIN & SCISSORS NAIL,ACCESSORIES,1.0,1.03,0.03,48.0,43.67,-0.0902,1.01,1.01,0.0,20351.0,21166.0,0.04,20555.0,21378.0,0.04,95.0,130.0,0.3684,0.2462,0.2339,-0.05,3.0,0.0,92.0,130.0,0.0316,0.0,0.9684,1.0
5814 - BEAUTY ACCESSORIES,ACCESSORIES,1.06,1.15,0.0849,16.0,15.33,-0.0419,1.03,1.02,-0.0097,14491.0,13254.0,-0.0854,14926.0,13519.0,-0.0943,31.0,45.0,0.4516,0.0821,0.0821,0.0,3.0,10.0,28.0,37.0,0.0968,0.2128,0.9032,0.7872
5911 - HAIR ACCESSORIES IMPORT,ACCESSORIES,1.0,1.07,0.07,6.0,4.67,-0.2217,1.0,1.0,0.0,20283.0,26800.0,0.3213,20283.0,26800.0,0.3213,12.0,14.0,0.1667,0.0308,0.025,-0.1883,6.0,0.0,6.0,14.0,0.5,0.0,0.5,1.0
4741 - CAR AIR FRESHENER,AIR FRESHNER,1.31,1.24,-0.0534,426.5,479.33,0.1239,1.1,1.15,0.0455,20241.0,20549.0,0.0152,22265.0,23631.0,0.0614,777.0,1253.0,0.6126,1.0,1.0,0.0,405.0,734.0,430.0,593.0,0.485,0.5531,0.515,0.4469
2411 - SKT (SIGARET KRETEK TANGAN),BACKWALL,1.27,1.35,0.063,1039.5,1120.0,0.0774,1.57,1.82,0.1592,22301.0,23484.0,0.053,35013.0,42741.0,0.2207,1323.0,1846.0,0.3953,0.1885,0.207,0.0981,2.0,6.0,1322.0,1843.0,0.0015,0.0032,0.9985,0.9968
2412 - SKM (SIGARET KRETEK MESIN) LTLN,BACKWALL,1.3,1.28,-0.0154,2371.5,2284.67,-0.0366,1.84,1.98,0.0761,43035.0,42716.0,-0.0074,79184.0,84578.0,0.0681,2575.0,3468.0,0.3468,0.4301,0.4223,-0.0181,3.0,8.0,2574.0,3465.0,0.0012,0.0023,0.9988,0.9977
2413 - SKM (SIGARET KRETEK MESIN) FF,BACKWALL,1.25,1.27,0.016,1529.0,1390.33,-0.0907,1.77,1.96,0.1073,34885.0,36588.0,0.0488,61746.0,71712.0,0.1614,1732.0,2130.0,0.2298,0.2773,0.257,-0.0732,7.0,5.0,1728.0,2129.0,0.004,0.0023,0.996,0.9977
2414 - SPM (SIGARET PUTIH MESIN),BACKWALL,1.28,1.29,0.0078,609.5,642.0,0.0533,1.9,2.14,0.1263,46526.0,46438.0,-0.0019,88399.0,99377.0,0.1242,643.0,898.0,0.3966,0.1105,0.1187,0.0742,9.0,7.0,636.0,894.0,0.014,0.0078,0.986,0.9922
2415 - SIGARET ELEKTRIK,BACKWALL,1.31,1.47,0.1221,218.5,295.67,0.3532,1.49,1.92,0.2886,104073.0,85279.0,-0.1806,155069.0,163736.0,0.0559,294.0,462.0,0.5714,0.0396,0.0547,0.3813,28.0,131.0,294.0,403.0,0.087,0.2453,0.913,0.7547
"2421 - LIGHTER, MATCHES & PAPER",BACKWALL,1.05,1.05,0.0,247.0,232.0,-0.0607,1.13,1.19,0.0531,6683.0,6885.0,0.0302,7552.0,8193.0,0.0849,436.0,585.0,0.3417,0.0448,0.0429,-0.0424,0.0,94.0,436.0,507.0,0.0,0.1564,1.0,0.8436
1113 - MINERAL WATER,BCTB (FLOOR),1.27,1.32,0.0394,396.0,467.0,0.1793,1.33,1.43,0.0752,39813.0,39470.0,-0.0086,52951.0,56442.0,0.0659,596.0,982.0,0.6477,0.0385,0.0436,0.1325,73.0,77.0,537.0,911.0,0.1197,0.0779,0.8803,0.9221
1119 - MINERAL WATER GALON,BCTB (FLOOR),1.38,1.37,-0.0072,8055.0,8581.33,0.0653,2.2,2.72,0.2364,30612.0,30018.0,-0.0194,67346.0,81649.0,0.2124,7325.0,9466.0,0.2923,0.7823,0.8007,0.0235,2475.0,3866.0,6162.0,7488.0,0.2866,0.3405,0.7134,0.6595
6111 - PACK EGG (NEGERI),BCTB (FLOOR),9.5,9.14,-0.0379,243.5,230.67,-0.0527,1.26,1.3,0.0317,31090.0,30384.0,-0.0227,39173.0,39499.0,0.0083,386.0,531.0,0.3756,0.0236,0.0215,-0.089,55.0,81.0,344.0,476.0,0.1378,0.1454,0.8622,0.8546
6112 - BULKY EGG,BCTB (FLOOR),11.16,11.01,-0.0134,1663.5,1542.67,-0.0726,1.57,1.66,0.0573,25911.0,25363.0,-0.0211,40680.0,42103.0,0.035,2125.0,2781.0,0.3087,0.1616,0.1439,-0.1095,639.0,712.0,1628.0,2166.0,0.2819,0.2474,0.7181,0.7526
6121 - PACK EGG (KAMPUNG),BCTB (FLOOR),5.73,5.96,0.0401,169.5,163.33,-0.0364,1.28,1.38,0.0781,24028.0,25033.0,0.0418,30756.0,34546.0,0.1232,264.0,354.0,0.3409,0.0165,0.0152,-0.0788,93.0,132.0,186.0,236.0,0.3333,0.3587,0.6667,0.6413
6131 - SALTY EGG,BCTB (FLOOR),1.35,1.24,-0.0815,55.0,36.33,-0.3395,1.2,1.35,0.125,16011.0,14739.0,-0.0794,19213.0,19898.0,0.0357,92.0,81.0,-0.1196,0.0053,0.0034,-0.3585,7.0,1.0,85.0,80.0,0.0761,0.0123,0.9239,0.9877
1115 - REMEDIES DRINK,BEVERAGES,1.03,1.13,0.0971,120.0,144.33,0.2028,1.06,1.12,0.0566,18834.0,21642.0,0.1491,19964.0,24239.0,0.2141,227.0,385.0,0.696,0.0163,0.0172,0.0552,96.0,163.0,135.0,232.0,0.4156,0.4127,0.5844,0.5873
1121 - DESSERT,BEVERAGES,1.31,1.2,-0.084,320.0,398.0,0.2438,1.16,1.22,0.0517,13210.0,12429.0,-0.0591,15324.0,15163.0,-0.0105,552.0,982.0,0.779,0.0436,0.0475,0.0894,239.0,599.0,347.0,446.0,0.4078,0.5732,0.5922,0.4268
1141 - SYRUP,BEVERAGES,1.22,1.2,-0.0164,136.0,166.67,0.2255,1.06,1.12,0.0566,33064.0,32759.0,-0.0092,35048.0,36690.0,0.0469,256.0,448.0,0.75,0.0185,0.0199,0.0757,11.0,32.0,245.0,421.0,0.043,0.0706,0.957,0.9294
1142 - SQUASH,BEVERAGES,1.37,1.32,-0.0365,63.0,31.0,-0.5079,1.12,1.06,-0.0536,24373.0,24526.0,0.0063,27298.0,25998.0,-0.0476,112.0,88.0,-0.2143,0.0086,0.0037,-0.5698,89.0,1.0,26.0,87.0,0.7739,0.0114,0.2261,0.9886
1144 - POWDER DRINK,BEVERAGES,1.12,1.19,0.0625,29.5,61.67,1.0905,1.11,1.21,0.0901,22210.0,20707.0,-0.0677,24653.0,25055.0,0.0163,53.0,153.0,1.8868,0.004,0.0074,0.85,5.0,118.0,48.0,45.0,0.0943,0.7239,0.9057,0.2761
1154 - RTD TEA,BEVERAGES,1.37,1.32,-0.0365,309.0,223.67,-0.2761,1.33,1.6,0.203,15253.0,14606.0,-0.0424,20286.0,23370.0,0.152,464.0,420.0,-0.0948,0.0421,0.0267,-0.3658,321.0,247.0,186.0,215.0,0.6331,0.5346,0.3669,0.4654
1231 - TRADITIONAL DRINK,BEVERAGES,1.13,1.14,0.0088,189.5,209.0,0.1029,1.13,1.15,0.0177,13480.0,13568.0,0.0065,15232.0,15603.0,0.0244,336.0,545.0,0.622,0.0258,0.0249,-0.0349,144.0,175.0,217.0,394.0,0.3989,0.3076,0.6011,0.6924
2023 - TETRAPACK LIQUID MILK,BEVERAGES,1.52,1.51,-0.0066,6308.0,7298.67,0.157,1.59,1.86,0.1698,31748.0,30742.0,-0.0317,50479.0,57180.0,0.1327,7937.0,11758.0,0.4814,0.8591,0.8704,0.0132,5914.0,9548.0,3063.0,3994.0,0.6588,0.7051,0.3412,0.2949
1311 - JAM,BREAD CORNER (BC),1.09,1.08,-0.0092,435.0,515.33,0.1847,1.13,1.18,0.0442,24159.0,24275.0,0.0048,27300.0,28644.0,0.0492,772.0,1314.0,0.7021,0.0264,0.0297,0.125,248.0,437.0,562.0,949.0,0.3062,0.3153,0.6938,0.6847
1312 - CHOCOLATE SPREAD,BREAD CORNER (BC),1.03,1.03,0.0,508.5,602.67,0.1852,1.14,1.2,0.0526,42122.0,42327.0,0.0049,48019.0,50792.0,0.0577,892.0,1509.0,0.6917,0.0309,0.0347,0.123,612.0,1131.0,306.0,444.0,0.6667,0.7181,0.3333,0.2819
1313 - CHOCO RICE,BREAD CORNER (BC),1.06,1.04,-0.0189,1044.5,983.67,-0.0582,1.2,1.32,0.1,14835.0,16160.0,0.0893,17802.0,21331.0,0.1982,1734.0,2244.0,0.2941,0.0634,0.0567,-0.1057,845.0,495.0,1011.0,1857.0,0.4553,0.2105,0.5447,0.7895
1314 - CHEESE,BREAD CORNER (BC),1.32,1.35,0.0227,2772.5,2923.0,0.0543,1.33,1.46,0.0977,21454.0,21594.0,0.0065,28534.0,31527.0,0.1049,4178.0,6021.0,0.4411,0.1684,0.1684,0.0,3129.0,4701.0,1452.0,2022.0,0.683,0.6992,0.317,0.3008
