CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH,PENETRATION_BEFORE,PENETRATION_AFTER,PENETRATION_GROWTH
2221 - CAN BISCUIT,BISC & CONFECTIONARY,1.1,1.09,-0.0091,132.0,148.67,0.1263,67150.0,60293.0,-0.1021,242.0,384.0,0.5868,0.0096,0.0115,0.1979
2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.52,1.63,0.0724,6164.5,6543.0,0.0614,15578.0,16062.0,0.0311,9057.0,13264.0,0.4645,0.3587,0.3956,0.1029
2223 - CRACKER BISCUIT,BISC & CONFECTIONARY,1.34,1.34,0.0,4031.0,4038.67,0.0019,12758.0,13182.0,0.0332,6052.0,8492.0,0.4032,0.2397,0.2533,0.0567
2224 - MARIE BISCUIT,BISC & CONFECTIONARY,1.18,1.19,0.0085,1171.0,1228.0,0.0487,16747.0,16271.0,-0.0284,1952.0,2914.0,0.4928,0.0773,0.0869,0.1242
2225 - PIE BISCUIT,BISC & CONFECTIONARY,1.08,1.12,0.037,180.0,197.33,0.0963,13646.0,14696.0,0.0769,330.0,527.0,0.597,0.0131,0.0157,0.1985
2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.34,1.34,0.0,4602.0,4932.33,0.0718,15759.0,15105.0,-0.0415,6971.0,10337.0,0.4829,0.2761,0.3083,0.1166
2227 - WAFER BISCUIT,BISC & CONFECTIONARY,1.42,1.57,0.1056,3451.5,3059.33,-0.1136,14577.0,16091.0,0.1039,5175.0,6616.0,0.2785,0.2049,0.1973,-0.0371
2228 - STICK BISCUIT,BISC & CONFECTIONARY,1.59,1.64,0.0314,3717.0,3246.0,-0.1267,14829.0,13441.0,-0.0936,5718.0,7106.0,0.2427,0.2264,0.212,-0.0636
2229 - SOFT CAKE,BISC & CONFECTIONARY,1.15,1.15,0.0,450.5,388.33,-0.138,18330.0,18295.0,-0.0019,762.0,967.0,0.269,0.0302,0.0288,-0.0464
2301 - JELLY & PUDDING,BISC & CONFECTIONARY,1.25,1.37,0.096,486.0,512.67,0.0549,11555.0,11453.0,-0.0088,746.0,1101.0,0.4759,0.0295,0.0328,0.1119
2312 - CHINESE PRESERVED FRUIT,BISC & CONFECTIONARY,1.0,1.0,0.0,0.5,0.33,-0.34,34900.0,35900.0,0.0287,1.0,1.0,0.0,0.0,0.0,
2322 - CAN & BOTTLE CANDY,BISC & CONFECTIONARY,1.18,1.03,-0.1271,57.0,48.0,-0.1579,17521.0,12602.0,-0.2807,110.0,137.0,0.2455,0.0044,0.0041,-0.0682
2323 - BAG CANDY,BISC & CONFECTIONARY,1.24,1.28,0.0323,1936.0,1869.67,-0.0343,14511.0,15078.0,0.0391,3195.0,4360.0,0.3646,0.1265,0.13,0.0277
2324 - MARSHMALLOW,BISC & CONFECTIONARY,1.14,1.15,0.0088,324.0,329.0,0.0154,12039.0,12176.0,0.0114,565.0,816.0,0.4442,0.0224,0.0243,0.0848
2331 - ENROBED CHOCOLATE,BISC & CONFECTIONARY,1.51,1.51,0.0,2873.5,2801.67,-0.025,19042.0,19099.0,0.003,4340.0,5886.0,0.3562,0.1719,0.1756,0.0215
2333 - DRAGEES CHOCOLATE,BISC & CONFECTIONARY,1.4,1.27,-0.0929,1104.5,946.33,-0.1432,14383.0,13869.0,-0.0357,1782.0,2212.0,0.2413,0.0706,0.066,-0.0652
1211 - INSTANT TEA,BREAKFAST,1.38,1.22,-0.1159,126.5,105.33,-0.1674,21470.0,21642.0,0.008,205.0,242.0,0.1805,0.0121,0.0107,-0.1157
1212 - BAG TEA,BREAKFAST,1.36,1.32,-0.0294,1064.5,1117.0,0.0493,13558.0,13124.0,-0.032,1816.0,2651.0,0.4598,0.107,0.1176,0.0991
1213 - LEAF TEA,BREAKFAST,1.46,1.37,-0.0616,260.0,255.0,-0.0192,12544.0,12097.0,-0.0356,361.0,510.0,0.4127,0.0213,0.0226,0.061
1221 - INSTANT COFFEE MIX,BREAKFAST,1.3,1.31,0.0077,2579.5,2625.0,0.0176,21738.0,21157.0,-0.0267,3509.0,4726.0,0.3468,0.2067,0.2097,0.0145
1222 - COFFEE MIX,BREAKFAST,1.72,1.75,0.0174,1351.5,1297.0,-0.0403,22618.0,23713.0,0.0484,1927.0,2521.0,0.3083,0.1135,0.1118,-0.015
1223 - PURE COFFEE,BREAKFAST,1.31,1.3,-0.0076,2822.0,2908.0,0.0305,27336.0,26355.0,-0.0359,3872.0,5388.0,0.3915,0.2281,0.239,0.0478
1224 - POWDER CREAMER & CHOCOLATE DRINK,BREAKFAST,1.27,1.25,-0.0157,464.0,428.33,-0.0769,18072.0,17655.0,-0.0231,735.0,979.0,0.332,0.0433,0.0434,0.0023
1321 - CEREAL,BREAKFAST,1.32,1.32,0.0,2531.5,2377.33,-0.0609,24684.0,25352.0,0.0271,3892.0,5129.0,0.3178,0.2293,0.2276,-0.0074
1411 - DIETATIC BEVERAGE,BREAKFAST,1.06,1.08,0.0189,108.0,119.0,0.1019,22779.0,25046.0,0.0995,195.0,320.0,0.641,0.0115,0.0142,0.2348
1412 - DIETATIC SUGAR,BREAKFAST,1.1,1.08,-0.0182,152.5,156.33,0.0251,54194.0,52293.0,-0.0351,261.0,372.0,0.4253,0.0154,0.0165,0.0714
2021 - SWEETENED CONDENSED MILK,BREAKFAST,1.68,1.75,0.0417,4793.0,5379.0,0.1223,27015.0,28852.0,0.068,6428.0,9379.0,0.4591,0.3787,0.4161,0.0988
1111 - ENERGY DRINK,CHILLER,1.47,1.35,-0.0816,212.0,179.0,-0.1557,11667.0,10890.0,-0.0666,344.0,389.0,0.1308,0.0141,0.0131,-0.0709
1112 - CARBONATED DRINK,CHILLER,1.37,1.59,0.1606,5155.0,2221.0,-0.5692,11342.0,12059.0,0.0632,5366.0,4318.0,-0.1953,0.2198,0.1453,-0.3389
1113 - MINERAL WATER,CHILLER,3.32,3.35,0.009,5879.0,5876.33,-0.0005,13714.0,14609.0,0.0653,6995.0,9501.0,0.3583,0.2865,0.3197,0.1159
1114 - ISOTONIC DRINK,CHILLER,1.47,1.55,0.0544,1813.0,1822.33,0.0051,14408.0,16404.0,0.1385,2762.0,3877.0,0.4037,0.1131,0.1305,0.1538
1115 - REMEDIES DRINK,CHILLER,1.69,1.67,-0.0118,1578.0,1695.0,0.0741,13796.0,13849.0,0.0038,2418.0,3638.0,0.5045,0.099,0.1224,0.2364
1116 - VITAMIN DRINK,CHILLER,1.69,1.65,-0.0237,1107.5,988.67,-0.1073,13369.0,13148.0,-0.0165,1740.0,2176.0,0.2506,0.0713,0.0732,0.0266
1117 - YOGHURT BEVERAGE,CHILLER,1.63,1.77,0.0859,384.5,397.33,0.0334,13146.0,14510.0,0.1038,631.0,909.0,0.4406,0.0258,0.0306,0.186
1118 - CARBONATED MALT,CHILLER,12.27,11.16,-0.0905,240.5,298.67,0.2419,111752.0,101717.0,-0.0898,297.0,552.0,0.8586,0.0122,0.0186,0.5246
1121 - DESSERT,CHILLER,1.24,1.55,0.25,239.0,115.67,-0.516,10582.0,13257.0,0.2528,408.0,286.0,-0.299,0.0167,0.0096,-0.4251
1151 - RTD JUICE,CHILLER,1.32,1.59,0.2045,3840.5,1120.33,-0.7083,10465.0,14487.0,0.3843,4425.0,2589.0,-0.4149,0.1812,0.0871,-0.5193
1154 - RTD TEA,CHILLER,1.95,2.28,0.1692,4353.0,3014.67,-0.3075,12356.0,11946.0,-0.0332,5383.0,5470.0,0.0162,0.2205,0.1841,-0.1651
1156 - RTD COFFEE,CHILLER,1.65,1.65,0.0,2120.0,2044.33,-0.0357,11558.0,11176.0,-0.0331,2717.0,3745.0,0.3784,0.1113,0.126,0.1321
1231 - TRADITIONAL DRINK,CHILLER,1.14,1.17,0.0263,3.5,2.0,-0.4286,10500.0,11517.0,0.0969,7.0,6.0,-0.1429,0.0003,0.0002,-0.3333
2022 - SPECIALTY LIQUID MILK,CHILLER,2.54,2.15,-0.1535,100.0,180.33,0.8033,24785.0,23390.0,-0.0563,154.0,415.0,1.6948,0.0063,0.014,1.2222
2023 - TETRAPACK LIQUID MILK,CHILLER,2.24,2.41,0.0759,6081.0,5914.0,-0.0275,22508.0,23883.0,0.0611,7292.0,9551.0,0.3098,0.2987,0.3214,0.076
2024 - BOTTLE - CAN LIQUID MILK,CHILLER,2.34,2.75,0.1752,2144.5,2402.33,0.1202,27351.0,25780.0,-0.0574,3089.0,4738.0,0.5338,0.1265,0.1594,0.2601
2025 - PLANT BASED LIQUID MILK,CHILLER,1.59,1.55,-0.0252,725.0,854.33,0.1784,14465.0,15178.0,0.0493,1028.0,1722.0,0.6751,0.0421,0.0579,0.3753
6212 - YOGHURT,CHILLER,2.14,2.22,0.0374,2842.5,2761.67,-0.0284,14584.0,14487.0,-0.0067,3843.0,5166.0,0.3443,0.1574,0.1738,0.1042
6218 - PUDDING,CHILLER,1.57,1.53,-0.0255,192.5,318.67,0.6554,11606.0,11641.0,0.003,338.0,749.0,1.216,0.0138,0.0252,0.8261
6226 - CHILLED MEAT BALLS,CHILLER,1.46,1.39,-0.0479,664.0,530.67,-0.2008,12890.0,12358.0,-0.0413,1039.0,1236.0,0.1896,0.0426,0.0416,-0.0235
6227 - CHILLED SAUSAGES,CHILLER,1.75,1.77,0.0114,2859.5,2799.0,-0.0212,15792.0,15856.0,0.0041,3972.0,5445.0,0.3708,0.1627,0.1832,0.126
6234 - FROZEN SEAFOOD,CHILLER,1.17,1.2,0.0256,39.0,41.0,0.0513,32276.0,31782.0,-0.0153,66.0,96.0,0.4545,0.0027,0.0032,0.1852
6521 - LOCAL FRUIT,CHILLER,1.3,1.4,0.0769,5.0,3.33,-0.334,7800.0,8400.0,0.0769,10.0,10.0,0.0,0.0004,0.0003,-0.25
6524 - SEASONAL FRUIT,CHILLER,1.0,,,0.5,,,41900.0,,,1.0,,,0.0,,
3511 - FLOOR CLEANER,HOUSE HOLD,1.58,1.62,0.0253,3910.5,4067.67,0.0402,23902.0,24116.0,0.009,5936.0,8139.0,0.3711,0.183,0.1999,0.0923
3512 - GLASS CLEANER,HOUSE HOLD,1.48,1.48,0.0,295.5,299.0,0.0118,9766.0,9740.0,-0.0027,512.0,748.0,0.4609,0.0158,0.0184,0.1646
3513 - TOILET CLEANER,HOUSE HOLD,1.34,1.34,0.0,1649.5,1634.33,-0.0092,24647.0,25716.0,0.0434,2794.0,3839.0,0.374,0.0861,0.0943,0.0952
3514 - KITCHEN CLEANER,HOUSE HOLD,1.13,1.13,0.0,70.0,65.0,-0.0714,24792.0,25161.0,0.0149,135.0,181.0,0.3407,0.0042,0.0044,0.0476
3516 - DISHWASHING CLEANER,HOUSE HOLD,1.86,1.87,0.0054,11795.0,11711.33,-0.0071,20903.0,21273.0,0.0177,15654.0,19974.0,0.276,0.4825,0.4905,0.0166
3611 - AEROSOL INSECTICIDES,HOUSE HOLD,1.21,1.2,-0.0083,2406.0,2891.33,0.2017,42531.0,41776.0,-0.0178,3922.0,6249.0,0.5933,0.1209,0.1535,0.2696
3612 - COIL INSECTICIDES,HOUSE HOLD,1.51,1.5,-0.0066,413.0,494.33,0.1969,8233.0,8440.0,0.0251,582.0,965.0,0.6581,0.0179,0.0237,0.324
3613 - LIQUID INSECTICIDES,HOUSE HOLD,1.0,1.0,0.0,2.0,1.0,-0.5,40225.0,36367.0,-0.0959,4.0,2.0,-0.5,0.0001,0.0,-1.0
3614 - LOTION INSECTICIDES,HOUSE HOLD,1.2,1.23,0.025,434.5,386.0,-0.1116,16527.0,17272.0,0.0451,767.0,1000.0,0.3038,0.0236,0.0246,0.0424
3615 - ELECTRIC INSECTICIDES,HOUSE HOLD,1.25,1.29,0.032,1389.0,1523.33,0.0967,24513.0,23842.0,-0.0274,2111.0,3173.0,0.5031,0.0651,0.0779,0.1966
3616 - OTHERS INSECTICIDES,HOUSE HOLD,1.37,1.38,0.0073,319.0,322.33,0.0104,25858.0,25968.0,0.0043,551.0,805.0,0.461,0.017,0.0198,0.1647
3621 - TOILET NAPHTHALENE,HOUSE HOLD,1.23,1.27,0.0325,510.5,457.67,-0.1035,30382.0,31263.0,0.029,907.0,1132.0,0.2481,0.028,0.0278,-0.0071
3622 - CABINET NAPHTHALENE,HOUSE HOLD,1.2,1.22,0.0167,333.5,311.67,-0.0655,28323.0,30279.0,0.0691,607.0,827.0,0.3624,0.0187,0.0203,0.0856
3623 - AEROSOL AIR FRESHENER,HOUSE HOLD,1.2,1.2,0.0,661.5,561.33,-0.1514,41854.0,41409.0,-0.0106,1160.0,1416.0,0.2207,0.0358,0.0348,-0.0279
3624 - GEL AIR FRESHENER,HOUSE HOLD,1.48,1.42,-0.0405,1441.0,1632.67,0.133,18643.0,17660.0,-0.0527,2404.0,3881.0,0.6144,0.0741,0.0953,0.2861
3711 - POWDER DETERGENT,HOUSE HOLD,1.54,1.5,-0.026,5590.5,5521.33,-0.0124,36338.0,35484.0,-0.0235,7692.0,9846.0,0.28,0.2371,0.2418,0.0198
3712 - CREAM DETERGENT,HOUSE HOLD,1.54,1.56,0.013,563.0,612.33,0.0876,10527.0,9906.0,-0.059,908.0,1327.0,0.4615,0.028,0.0326,0.1643
3714 - LIQUID DETERGENT,HOUSE HOLD,1.88,1.89,0.0053,9194.5,9475.67,0.0306,38026.0,38418.0,0.0103,11595.0,15085.0,0.301,0.3574,0.3705,0.0367
3715 - MATIC POWDER DETERGENT,HOUSE HOLD,1.3,1.28,-0.0154,10.0,15.67,0.567,92970.0,103877.0,0.1173,19.0,32.0,0.6842,0.0006,0.0008,0.3333
3716 - MATIC LIQUID DETERGENT,HOUSE HOLD,1.65,1.74,0.0545,195.5,221.0,0.1304,67507.0,70056.0,0.0378,286.0,431.0,0.507,0.0088,0.0106,0.2045
3721 - BLEACH,HOUSE HOLD,1.19,1.19,0.0,846.5,836.33,-0.012,31374.0,30582.0,-0.0252,1377.0,1937.0,0.4067,0.0424,0.0476,0.1226
3722 - CONCENTRATE FABRIC CONDITIONER,HOUSE HOLD,1.68,1.58,-0.0595,3261.0,3594.33,0.1022,39540.0,36405.0,-0.0793,4297.0,6028.0,0.4028,0.1325,0.148,0.117
3723 - DILUTE FABRIC CONDITIONER,HOUSE HOLD,1.95,1.98,0.0154,4345.0,4058.67,-0.0659,24013.0,24560.0,0.0228,5669.0,6893.0,0.2159,0.1747,0.1693,-0.0309
