PLU,DESCP,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
150008,PANDAN HIJAU BRS PND WANGI 10KG,1511 - RICE,-,1.07,,,20.5,,,1.46,,,165268.0,,,241291.0,,,28.0,,
62842,ETERNA SIKAT CUCI 414,4251 - CLEANING EQUIPMENT,-,1.0,1.0,0.0,5.5,4.67,-0.1509,1.0,1.0,0.0,9300.0,9300.0,0.0,9300.0,9300.0,0.0,11.0,14.0,0.2727
445017,HEPPIII BAKSO SAPI 325G,6235 - FROZEN MEAT BALLS,-,1.0,1.02,0.02,7.5,14.33,0.9107,1.0,1.05,0.05,36900.0,37758.0,0.0233,36900.0,39646.0,0.0744,15.0,41.0,1.7333
228011,SO GOOD BAKSO KUAH SAPI 100G,6235 - FROZEN MEAT BALLS,-,1.04,1.11,0.0673,22.5,20.67,-0.0813,1.12,1.09,-0.0268,21993.0,23666.0,0.0761,24632.0,25796.0,0.0473,40.0,57.0,0.425
411675,SUMBER SELERA BAKSO SBG 25S,6235 - FROZEN MEAT BALLS,-,1.03,1.08,0.0485,52.0,46.67,-0.1025,1.11,1.16,0.045,37964.0,39799.0,0.0483,42140.0,46167.0,0.0956,94.0,121.0,0.2872
417988,BELFOODS CHICKEN SAUSAGES 200G,6236 - FROZEN SAUSAGES,-,1.0,1.0,0.0,0.5,0.33,-0.34,1.0,1.0,0.0,15500.0,15700.0,0.0129,15500.0,15700.0,0.0129,1.0,1.0,0.0
444382,BELFOODS CHICKEN COCKTAIL 400G,6236 - FROZEN SAUSAGES,-,1.0,1.03,0.03,9.5,10.33,0.0874,1.06,1.0,-0.0566,52016.0,53755.0,0.0334,55137.0,53755.0,-0.0251,18.0,31.0,0.7222
620130,BELFOODS RYL FRANKFURTER 200G,6236 - FROZEN SAUSAGES,-,1.0,,,0.5,,,1.0,,,34900.0,,,34900.0,,,1.0,,
437738,BENFARM CKN SAUSAGE 300G,6236 - FROZEN SAUSAGES,-,1.02,1.03,0.0098,27.5,19.33,-0.2971,1.06,1.07,0.0094,55924.0,56805.0,0.0158,59279.0,60781.0,0.0253,52.0,54.0,0.0385
437739,BENFARM CKN CHEESE SAUSAGE 300G,6236 - FROZEN SAUSAGES,-,1.11,1.03,-0.0721,14.0,24.67,0.7621,1.04,1.06,0.0192,68546.0,63597.0,-0.0722,71288.0,67413.0,-0.0544,27.0,70.0,1.5926
216895,CHAMP CHICKEN SAUSAGE 500G,6236 - FROZEN SAUSAGES,-,1.0,1.03,0.03,21.0,32.67,0.5557,1.08,1.21,0.1204,34143.0,34449.0,0.009,36874.0,41683.0,0.1304,39.0,81.0,1.0769
432450,KANZLER BEEF COCK SSG 250G,6236 - FROZEN SAUSAGES,-,1.03,1.04,0.0097,67.5,74.0,0.0963,1.12,1.19,0.0625,40101.0,40441.0,0.0085,44913.0,48125.0,0.0715,120.0,187.0,0.5583
405847,SO NICE SOSIS AYAM 375G,6236 - FROZEN SAUSAGES,-,1.02,1.01,-0.0098,29.0,49.67,0.7128,1.12,1.11,-0.0089,22134.0,21877.0,-0.0116,24790.0,24283.0,-0.0205,52.0,134.0,1.5769
444180,ACMIC USB TO MICRO USB,4641 - ACCESSORIES TRAVEL,ACCESSORIES,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,19900.0,19900.0,0.0,19900.0,19900.0,0.0,2.0,3.0,0.5
444181,ACMIC USB TO TYPE C,4641 - ACCESSORIES TRAVEL,ACCESSORIES,1.0,1.0,0.0,1.5,2.67,0.78,1.0,1.0,0.0,19900.0,19900.0,0.0,19900.0,19900.0,0.0,3.0,8.0,1.6667
444182,ACMIC USB TO LIGHTNING,4641 - ACCESSORIES TRAVEL,ACCESSORIES,1.0,1.0,0.0,0.5,0.33,-0.34,1.0,1.0,0.0,19900.0,19900.0,0.0,19900.0,19900.0,0.0,1.0,1.0,0.0
444938,ACMIC USB FAST CHARGER 10W,4641 - ACCESSORIES TRAVEL,ACCESSORIES,1.0,1.0,0.0,1.5,1.0,-0.3333,1.0,1.0,0.0,29900.0,29900.0,0.0,29900.0,29900.0,0.0,3.0,3.0,0.0
444942,ACMIC IN-EAR HEADSET JACK 3.5MM,4641 - ACCESSORIES TRAVEL,ACCESSORIES,,1.0,,,1.67,,,1.0,,,29900.0,,,29900.0,,,5.0,
410123,KENMASTER TRAVEL ADAPTOR (OL),4641 - ACCESSORIES TRAVEL,ACCESSORIES,,1.0,,,0.33,,,1.0,,,35000.0,,,35000.0,,,1.0,
448273,KENMASTER TIMBANGAN  SY-169(OL),4641 - ACCESSORIES TRAVEL,ACCESSORIES,,1.0,,,1.33,,,1.0,,,39000.0,,,39000.0,,,4.0,
128400,ALFAMART KAOS KAKI SEKOLAH ANK,5521 - BABIES & CHILDREN SOCK,ACCESSORIES,1.0,1.0,0.0,4.5,3.67,-0.1844,1.0,1.0,0.0,21122.0,19173.0,-0.0923,21122.0,19173.0,-0.0923,9.0,11.0,0.2222
128401,ALFA KAOS KAKI SPORT,5523 - MENS SOCK,ACCESSORIES,1.0,1.0,0.0,12.0,9.0,-0.25,1.0,1.0,0.0,18908.0,20315.0,0.0744,18908.0,20315.0,0.0744,24.0,27.0,0.125
128402,ALFAMART KAOS KAKI BISNIS,5523 - MENS SOCK,ACCESSORIES,1.06,1.0,-0.0566,9.0,9.33,0.0367,1.0,1.04,0.04,19494.0,20118.0,0.032,19494.0,20923.0,0.0733,18.0,27.0,0.5
