PLU,DESCP,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
401596,ALFAMART WFRROL CHO TPL 500G,2221 - CAN BISCUIT,BISC & CONFECTIONARY,1.03,1.05,0.0194,43.0,42.67,-0.0077,0.57,0.41,-0.2807,31886.0,32300.0,0.013,18175.0,13243.0,-0.2714,76.0,104.0,0.3684
374,KG AST BISC RED CAN 1600G,2221 - CAN BISCUIT,BISC & CONFECTIONARY,1.05,1.06,0.0095,20.5,17.67,-0.138,0.53,0.37,-0.3019,125861.0,126979.0,0.0089,66706.0,46982.0,-0.2957,39.0,48.0,0.2308
375,KG AST BISC RED MINI CAN 650G,2221 - CAN BISCUIT,BISC & CONFECTIONARY,1.04,1.02,-0.0192,25.0,32.67,0.3068,0.54,0.35,-0.3519,66198.0,64857.0,-0.0203,35747.0,22700.0,-0.365,46.0,93.0,1.0217
445986,KG WAFER STICK VANILLA 500G(OL),2221 - CAN BISCUIT,BISC & CONFECTIONARY,1.0,,,0.5,,,0.5,,,36500.0,,,18250.0,,,1.0,,
424,MD BUT COOKIES BLUE CAN 454G,2221 - CAN BISCUIT,BISC & CONFECTIONARY,1.0,1.02,0.02,24.5,18.33,-0.2518,0.5,0.33,-0.34,79716.0,81116.0,0.0176,39858.0,26768.0,-0.3284,49.0,55.0,0.1224
395,NS WFR CHOCOLATE CAN 570G,2221 - CAN BISCUIT,BISC & CONFECTIONARY,1.02,1.02,0.0,20.0,17.33,-0.1335,0.54,0.39,-0.2778,53198.0,52898.0,-0.0056,28727.0,20630.0,-0.2819,37.0,45.0,0.2162
103898,TANGO WFR CHOCO CAN 240G,2221 - CAN BISCUIT,BISC & CONFECTIONARY,1.14,1.04,-0.0877,7.0,28.33,3.0471,0.5,0.34,-0.32,31757.0,28924.0,-0.0892,15878.0,9834.0,-0.3807,14.0,84.0,5.0
431855,7+ CEREAL BAR COCOA CHIA 22G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.19,1.25,0.0504,40.5,40.67,0.0042,0.53,0.37,-0.3019,11147.0,11790.0,0.0577,5908.0,4362.0,-0.2617,77.0,109.0,0.4156
431890,7+ CEREAL BAR YOGHURT BERRY 22G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.28,1.33,0.0391,42.5,42.0,-0.0118,0.55,0.37,-0.3273,12060.0,12471.0,0.0341,6633.0,4614.0,-0.3044,77.0,115.0,0.4935
446809,BISKITOP KOSLS CHOCO 200G(OL),2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,,1.0,,,0.67,,,0.33,,,13900.0,,,4587.0,,,2.0,
446815,BISKITOP KOSLS STRAWBRY200G(OL),2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,,1.0,,,0.33,,,0.33,,,13900.0,,,4587.0,,,1.0,
102425,BISKUAT ORIGINAL 106.4G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.1,1.11,0.0091,129.0,193.67,0.5013,0.56,0.38,-0.3214,10864.0,10982.0,0.0109,6084.0,4173.0,-0.3141,230.0,515.0,1.2391
113293,BISKUAT CHOCOLATE 106.4G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.14,1.12,-0.0175,278.5,396.33,0.4231,0.58,0.4,-0.3103,11258.0,11038.0,-0.0195,6530.0,4415.0,-0.3239,481.0,998.0,1.0748
459183,BISKUAT BITES ORI 35G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,,1.17,,,29.33,,,0.35,,,7163.0,,,2507.0,,,84.0,
459184,BISKUAT BITES COKELAT 35G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,,1.08,,,52.0,,,0.35,,,6579.0,,,2303.0,,,147.0,
425515,CHOCOLITO RICH CHOCO BOX 2X19G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.51,1.27,-0.1589,177.5,119.0,-0.3296,0.57,0.39,-0.3158,9246.0,7786.0,-0.1579,5270.0,3037.0,-0.4237,310.0,303.0,-0.0226
425516,CHOCOLITO ORIGINAL BOX 2X19G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.4,1.3,-0.0714,115.0,75.33,-0.345,0.53,0.36,-0.3208,8551.0,7977.0,-0.0671,4532.0,2872.0,-0.3663,215.0,207.0,-0.0372
435460,DIABETASOL WFR CHO 2X50G (OL),2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.2,1.0,-0.1667,2.5,3.0,0.2,0.5,0.43,-0.14,24060.0,20322.0,-0.1554,12030.0,8738.0,-0.2736,5.0,7.0,0.4
451119,DILAN COOKIES CHOCO CHIP 69G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,,1.2,,,5.0,,,0.33,,,11400.0,,,3762.0,,,15.0,
120637,FITBAR FRUITS 20G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.64,1.84,0.122,173.0,317.67,0.8362,0.56,0.41,-0.2679,9425.0,10423.0,0.1059,5278.0,4273.0,-0.1904,311.0,780.0,1.508
125537,FITBAR CHOCOLATE 20G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.6,1.97,0.2312,178.5,361.33,1.0243,0.58,0.4,-0.3103,9455.0,11348.0,0.2002,5484.0,4539.0,-0.1723,309.0,903.0,1.9223
419277,FITBAR TIRAMISU DELIGHT 20G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.43,1.69,0.1818,124.0,247.33,0.9946,0.56,0.39,-0.3036,8342.0,9704.0,0.1633,4672.0,3785.0,-0.1899,221.0,630.0,1.8507
436340,FITBAR CHEESE DELIGHT 20G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.45,1.54,0.0621,97.0,183.0,0.8866,0.58,0.39,-0.3276,8425.0,8823.0,0.0472,4886.0,3441.0,-0.2957,168.0,468.0,1.7857
459089,FITBAR PROTEIN BAR CHOCO 25G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,,1.38,,,26.33,,,0.38,,,15039.0,,,5715.0,,,70.0,
115704,GOOD TIME COFFEE CHO 72G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.21,1.17,-0.0331,125.5,115.0,-0.0837,0.52,0.36,-0.3077,11751.0,11638.0,-0.0096,6111.0,4190.0,-0.3144,240.0,319.0,0.3292
190988,GOOD TIME DBL CHOCO 72G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.25,1.24,-0.008,666.5,537.0,-0.1943,0.57,0.38,-0.3333,12117.0,12373.0,0.0211,6907.0,4702.0,-0.3192,1170.0,1416.0,0.2103
190990,GOOD TIME CLASSIC CHO 72G,2222 - COOKIES BISCUIT,BISC & CONFECTIONARY,1.29,1.26,-0.0233,292.0,197.0,-0.3253,0.58,0.37,-0.3621,12570.0,12539.0,-0.0025,7291.0,4639.0,-0.3637,507.0,530.0,0.0454
