SECTION,CATEGORY,SUBCATEGORY,BRAND,SEGMENT_VALUE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_BEFORE,SPB_AFTER,SPB_BEFORE,SPT_AFTER,SPT_BEFORE,BUYER_COUNT_GROWTH,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_GROWTH,SPT_GROWTH,SPB_GROWTH,SEGMENT_TYPE,VERSI
BISC & CONFECTIONARY,2221 - CAN BISCUIT,2221A - CAN BISCUIT,ALFAMART,CAN,1.05,1.03,42.67,43.0,104.0,76.0,1.23,1.13,39729.0,36031.0,32300.0,31886.0,0.3684,0.0194,-0.0077,0.0885,0.013,0.1026,Packtype,V1
BISC & CONFECTIONARY,2221 - CAN BISCUIT,2221A - CAN BISCUIT,KHONG GUAN,CAN,1.03,1.06,50.33,45.0,136.0,83.0,1.11,1.08,96195.0,101642.0,86662.0,94113.0,0.6386,-0.0283,0.1184,0.0278,-0.0792,-0.0536,Packtype,V1
BISC & CONFECTIONARY,2221 - CAN BISCUIT,2221A - CAN BISCUIT,KHONG GUAN,OTHERS,,1.0,,0.5,,1.0,,1.0,,36500.0,,36500.0,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2221 - CAN BISCUIT,2221A - CAN BISCUIT,MONDE,CAN,1.02,1.0,18.33,24.5,55.0,49.0,1.0,1.0,81116.0,79716.0,81116.0,79716.0,0.1224,0.02,-0.2518,0.0,0.0176,0.0176,Packtype,V1
BISC & CONFECTIONARY,2221 - CAN BISCUIT,2221A - CAN BISCUIT,NISSIN,CAN,1.02,1.02,17.33,20.0,45.0,37.0,1.16,1.08,61362.0,57454.0,52898.0,53198.0,0.2162,0.0,-0.1335,0.0741,-0.0056,0.068,Packtype,V1
BISC & CONFECTIONARY,2221 - CAN BISCUIT,2221A - CAN BISCUIT,TANGO,CAN,1.04,1.14,28.33,7.0,84.0,14.0,1.01,1.0,29213.0,31757.0,28924.0,31757.0,5.0,-0.0877,3.0471,0.01,-0.0892,-0.0801,Packtype,V1
BISC & CONFECTIONARY,2222 - COOKIES BISCUIT,2222A - COOKIES BISCUIT 15-30G,BISKUAT,BOX,1.23,,73.33,,204.0,,1.08,,8132.0,,7530.0,,,,,,,,Packtype,V1
BISC & CONFECTIONARY,2222 - COOKIES BISCUIT,2222B - COOKIES BISCUIT 40-60G,CHOCOLITO,BOX,1.46,1.78,170.0,241.5,431.0,418.0,1.18,1.16,10602.0,12606.0,8985.0,10867.0,0.0311,-0.1798,-0.2961,0.0172,-0.1732,-0.159,Packtype,V1
BISC & CONFECTIONARY,2222 - COOKIES BISCUIT,2222B - COOKIES BISCUIT 40-60G,HELLO PANDA,BOX,1.64,1.68,579.33,503.0,1483.0,892.0,1.17,1.13,17750.0,17878.0,15171.0,15821.0,0.6626,-0.0238,0.1517,0.0354,-0.0411,-0.0072,Packtype,V1
BISC & CONFECTIONARY,2222 - COOKIES BISCUIT,2222B - COOKIES BISCUIT 40-60G,LEMONILO,BAG,1.31,1.27,590.33,534.0,1481.0,923.0,1.2,1.16,21660.0,20397.0,18050.0,17584.0,0.6046,0.0315,0.1055,0.0345,0.0265,0.0619,Packtype,V1
