SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
1511C - RICE BAG 10KG,1511 - RICE,-,1.07,,,20.5,,,1.46,,,165268.0,,,241291.0,,,28.0,,
4251B - CLEANING EQUIPMENT TOILET,4251 - CLEANING EQUIPMENT,-,1.0,1.0,0.0,5.5,4.67,-0.1509,1.0,1.0,0.0,9300.0,9300.0,0.0,9300.0,9300.0,0.0,11.0,14.0,0.2727
6235A - FROZEN MEAT BALLS,6235 - FROZEN MEAT BALLS,-,1.05,1.09,0.0381,80.5,80.67,0.0021,1.11,1.16,0.045,34109.0,35797.0,0.0495,37861.0,41525.0,0.0968,145.0,208.0,0.4345
6236A - FROZEN SAUSAGES,6236 - FROZEN SAUSAGES,-,1.04,1.05,0.0096,167.5,206.67,0.2339,1.12,1.19,0.0625,42284.0,40801.0,-0.0351,47358.0,48553.0,0.0252,298.0,520.0,0.745
4641A - TRAVEL ACCESSORIES,4641 - ACCESSORIES TRAVEL,ACCESSORIES,1.29,1.04,-0.1938,3.5,8.0,1.2857,1.17,1.0,-0.1453,29871.0,27875.0,-0.0668,34949.0,27875.0,-0.2024,6.0,24.0,3.0
5521A - BABIES/CHILDREN SOCK,5521 - BABIES & CHILDREN SOCK,ACCESSORIES,1.0,1.0,0.0,4.5,3.67,-0.1844,1.0,1.0,0.0,21122.0,19173.0,-0.0923,21122.0,19173.0,-0.0923,9.0,11.0,0.2222
5523A - MENS SOCK,5523 - MENS SOCK,ACCESSORIES,1.11,1.1,-0.009,30.5,30.0,-0.0164,1.02,1.07,0.049,22638.0,25026.0,0.1055,23091.0,26778.0,0.1597,60.0,84.0,0.4
5811A - COMB,5811 - COMB,ACCESSORIES,1.05,1.04,-0.0095,41.0,39.67,-0.0324,1.01,1.03,0.0198,15082.0,15233.0,0.01,15233.0,15690.0,0.03,81.0,115.0,0.4198
5812A - HAIR GROOMING,5812 - HAIR ACCESSORIES,ACCESSORIES,1.1,1.07,-0.0273,49.5,46.33,-0.064,1.02,1.05,0.0294,19463.0,22799.0,0.1714,19852.0,23939.0,0.2059,97.0,132.0,0.3608
5813A - PIN & SCISSORS NAIL,5813 - PIN & SCISSORS NAIL,ACCESSORIES,1.0,1.03,0.03,48.0,43.67,-0.0902,1.01,1.01,0.0,20351.0,21166.0,0.04,20555.0,21378.0,0.04,95.0,130.0,0.3684
