SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
1111A - ENERGY DRINK LIQUID BOTTLE  100-250ML,1111 - ENERGY DRINK,CHILLER,1.13,1.22,0.0796,23.0,17.0,-0.2609,1.18,1.02,-0.1356,7374.0,8016.0,0.0871,8701.0,8176.0,-0.0603,39.0,50.0,0.2821
1111B - ENERGY DRINK LIQUID CAN 200-350ML,1111 - ENERGY DRINK,CHILLER,1.27,1.19,-0.063,11.0,9.0,-0.1818,1.47,2.25,0.5306,11764.0,10307.0,-0.1239,17293.0,23191.0,0.3411,15.0,12.0,-0.2
1112A - CARBONATED DRINK CAN 200-250ML,1112 - CARBONATED DRINK,CHILLER,1.25,1.14,-0.088,8.0,14.33,0.7912,1.14,1.13,-0.0088,8738.0,7579.0,-0.1326,9961.0,8564.0,-0.1402,14.0,38.0,1.7143
1112C - CARBONATED DRINK PET 250-450 ML,1112 - CARBONATED DRINK,CHILLER,1.16,1.41,0.2155,341.0,200.67,-0.4115,1.75,1.33,-0.24,6232.0,7385.0,0.185,10906.0,9822.0,-0.0994,389.0,451.0,0.1594
1112D - CARBONATED DRINK PET 425-500ML,1112 - CARBONATED DRINK,CHILLER,1.2,1.13,-0.0583,12.5,15.0,0.2,1.09,1.18,0.0826,11208.0,10571.0,-0.0568,12217.0,12474.0,0.021,23.0,38.0,0.6522
1112E - CARBONATED DRINK PET 1000-1800ML,1112 - CARBONATED DRINK,CHILLER,1.14,1.22,0.0702,294.0,78.0,-0.7347,1.84,1.32,-0.2826,15731.0,13247.0,-0.1579,28945.0,17486.0,-0.3959,319.0,177.0,-0.4451
1113B - MINERAL WATER PET 330-400ML,1113 - MINERAL WATER,CHILLER,5.25,1.92,-0.6343,51.5,46.67,-0.0938,1.13,1.1,-0.0265,16976.0,9654.0,-0.4313,19183.0,10619.0,-0.4464,91.0,127.0,0.3956
1113C - MINERAL WATER PET 500-750ML,1113 - MINERAL WATER,CHILLER,1.85,1.89,0.0216,739.5,718.67,-0.0282,1.38,1.55,0.1232,6343.0,6495.0,0.024,8753.0,10067.0,0.1501,1070.0,1394.0,0.3028
1113D - MINERAL WATER PET 1-1.5L,1113 - MINERAL WATER,CHILLER,1.79,1.74,-0.0279,248.0,287.33,0.1586,1.54,1.69,0.0974,10983.0,11308.0,0.0296,16914.0,19111.0,0.1299,322.0,510.0,0.5839
1113I - FUNCTIONAL DRINK,1113 - MINERAL WATER,CHILLER,2.37,2.02,-0.1477,110.0,110.67,0.0061,1.38,1.48,0.0725,11934.0,11710.0,-0.0188,16469.0,17331.0,0.0523,159.0,225.0,0.4151
1114A - ISOTONIC DRINK PET 100-250ML,1114 - ISOTONIC DRINK,CHILLER,1.19,1.23,0.0336,44.0,45.0,0.0227,1.14,1.24,0.0877,10084.0,10513.0,0.0425,11496.0,13036.0,0.134,77.0,109.0,0.4156
1114B - ISOTONIC DRINK PET 300-380ML,1114 - ISOTONIC DRINK,CHILLER,1.39,1.22,-0.1223,63.5,79.67,0.2546,1.08,1.2,0.1111,8780.0,7142.0,-0.1866,9482.0,8570.0,-0.0962,118.0,199.0,0.6864
1114C - ISOTONIC DRINK PET 450-500ML,1114 - ISOTONIC DRINK,CHILLER,1.25,1.32,0.056,213.0,204.0,-0.0423,1.29,1.31,0.0155,11896.0,13567.0,0.1405,15346.0,17773.0,0.1582,331.0,467.0,0.4109
1114D - ISOTONIC DRINK CAN 330ML,1114 - ISOTONIC DRINK,CHILLER,2.0,1.11,-0.445,2.0,3.0,0.5,1.0,1.0,0.0,13700.0,7556.0,-0.4485,13700.0,7556.0,-0.4485,4.0,9.0,1.25
